avaliacao,empresa,tamanho,ano_fundacao,tipo_propriedade,industria,setor,receita,senioridade,cargo,salario_medio,cidade_vaga,estado_vaga,pais_vaga,cidade_sede,pais_sede,escala_tamanho,remoto,latitude,longitude,nome_estado_vaga
3.1,Healthfirst,1001 to 5000 employees,1993.0,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,Senior,Data scientist,154.0,New York,NY,United States of America,New York,United States of America,Grande,False,40.74838,-73.996705,New York
4.2,ManTech,5001 to 10000 employees,1968.0,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),,Data scientist,154.0,Chantilly,VA,United States of America,Herndon,United States of America,Grande,False,38.8865,-77.4393,Virginia
3.8,Analysis Group,1001 to 5000 employees,1981.0,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),,Data scientist,154.0,Boston,MA,United States of America,Boston,United States of America,Grande,False,42.357603,-71.068432,Massachusetts
3.5,INFICON,501 to 1000 employees,2000.0,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),,Data scientist,154.0,Newton,MA,United States of America,Bad Ragaz,Switzerland,Médio,False,42.3545,-71.1877,Massachusetts
2.9,Affinity Solutions,51 to 200 employees,1998.0,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,,Data scientist,154.0,New York,NY,United States of America,New York,United States of America,Pequeno,False,40.74838,-73.996705,New York
4.2,HG Insights,51 to 200 employees,2010.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,Data scientist,154.0,Santa Barbara,CA,United States of America,Santa Barbara,United States of America,Pequeno,False,34.419668,-119.70782,California
3.9,Novartis,10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,Data scientist,154.0,Cambridge,MA,United States of America,Basel,Switzerland,Corporação,False,42.377045,-71.125611,Massachusetts
3.5,iRobot,1001 to 5000 employees,1990.0,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),,Data scientist,154.0,Bedford,MA,United States of America,Bedford,United States of America,Grande,False,42.484287,-71.276796,Massachusetts
4.4,Intuit - Data,5001 to 10000 employees,1983.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),Principal,Data scientist,154.0,San Diego,CA,United States of America,Mountain View,United States of America,Grande,False,32.71852,-117.159316,California
3.6,XSELL Technologies,51 to 200 employees,2014.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,Data scientist,154.0,Chicago,IL,United States of America,Chicago,United States of America,Pequeno,False,41.885847,-87.618123,Illinois
